year,Physics Research,C,Mathematica,Machine Learning,Teaching,Perl,Web Apps,Design,Websites,JS / TS / Node / React,Data Pipelines,Leading Dev Teams,Data Visualization,Python,Clojurescript,Swift
1992,5,,,,,,,,,,,,,,,
1993,5,,2,,,,,,,,,,,,,
1994,5,3,3,2,,,,,,,,,,,,
1995,5,,3,2,,,,,,,,,,,,
1996,6,,,,2,,,,,,,,,,,
1997,7,,,,2,,,,,,,,,,,
1998,7,,,,2,,,,,,,,,,,
1999,10,,,,2,,,,,,,,,,,
2000,10,,,,4,,,,,,,,,,,
2001,10,1,,,4,7,4,,,1,5,,,,,
2002,,,,,0,7,4,,,,5,,,,,
2003,,,,,1,,,1,4,,,,,,,
2004,,,,,1,,,2,6,,,,,,,
2005,,,,,1,,,2,6,,,,,,,
2006,,,,,1,,,2,6,,,,,,,
2007,,,,,,,,2,7,,,2,,,,
2008,,,,,,,,2,8,,,3,,,,
2009,,,,,,,,2,6,,,3,,,,
2010,,,,,,,,2,5,1,,3,,,,
2011,,,,,,,3,2,,6,,4,2,,,
2012,,,,,,,5,2,,7,,4,3,,,
2013,,,,,1,,7,2,,8,,5,4,,,
2014,,,2,2,2,,10,2,,10,,5,4,,,
2015,,,2,2,2,,10,2,,10,4,6,4,,2,
2016,,,,2,2,,10,2,,10,9,6,4,1,3,
2017,,,,2,2,,9,2,,9,7,6,4,3,4,
2018,,,,2,2,,8,2,,9,6,6,4,6,4,
2019,,,,2,,,8,2,,9,5,6,4,5,4,
2020,,,,2,,,8,2,,9,5,6,4,3,3,3